name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"DTLB-misses","ITLB-misses","L1D-misses","L1I-misses","LLC-misses","avg_size","bits","branch-misses","cycles","duration","failures","fpr","instructions","retries","size","task-clock"
"Xor_Nonpart_Scalar_3/MTCount/466/10/1/10000/100000000/10/iterations:5/manual_time",5,45.4008,0.276836,ms,,,,,,-1,-1,-1,-1,-1,17536,14.0288,-1,-1,45.4008,0,0.125038,-1,0,17536,-1
"Xor_Nonpart_Scalar_3/MTCount/500/10/1/10000/100000000/10/iterations:5/manual_time",5,44.5201,0.26914,ms,,,,,,-1,-1,-1,-1,-1,18816,15.0528,-1,-1,44.5201,0,0.12506,-1,0,18816,-1
"Xor_Nonpart_Scalar_3/MTCount/533/10/1/10000/100000000/10/iterations:5/manual_time",5,44.397,0.248734,ms,,,,,,-1,-1,-1,-1,-1,20032,16.0256,-1,-1,44.397,0,0.125028,-1,0,20032,-1
"Xor_Nonpart_Scalar_3/MTCount/566/10/1/10000/100000000/10/iterations:5/manual_time",5,45.3756,0.2869,ms,,,,,,-1,-1,-1,-1,-1,21248,16.9984,-1,-1,45.3756,0,0.124991,-1,0,21248,-1
"Xor_Nonpart_Scalar_3/MTCount/600/10/1/10000/100000000/10/iterations:5/manual_time",5,44.5173,0.261422,ms,,,,,,-1,-1,-1,-1,-1,22528,18.0224,-1,-1,44.5173,0,0.125032,-1,0,22528,-1
"Xor_Nonpart_Scalar_3/MTCount/633/10/1/10000/100000000/10/iterations:5/manual_time",5,45.3084,0.295058,ms,,,,,,-1,-1,-1,-1,-1,23744,18.9952,-1,-1,45.3084,0,0.125055,-1,0,23744,-1
"Xor_Nonpart_Scalar_3/MTCount/666/10/1/10000/100000000/10/iterations:5/manual_time",5,44.7744,0.25752,ms,,,,,,-1,-1,-1,-1,-1,25024,20.0192,-1,-1,44.7744,0,0.125078,-1,0,25024,-1
"Xor_Nonpart_Scalar_3/MTCount/700/10/1/10000/100000000/10/iterations:5/manual_time",5,45.4881,0.289464,ms,,,,,,-1,-1,-1,-1,-1,26304,21.0432,-1,-1,45.4881,0,0.125084,-1,0,26304,-1
"Xor_Nonpart_Scalar_3/MTCount/733/10/1/10000/100000000/10/iterations:5/manual_time",5,45.1381,0.265618,ms,,,,,,-1,-1,-1,-1,-1,27520,22.016,-1,-1,45.1381,0,0.12508,-1,0,27520,-1
"Xor_Nonpart_Scalar_3/MTCount/766/10/1/10000/100000000/10/iterations:5/manual_time",5,45.7575,0.269034,ms,,,,,,-1,-1,-1,-1,-1,28736,22.9888,-1,-1,45.7575,0,0.125039,-1,0,28736,-1
